Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Muslim percentage of total population,Buddhist (%),Jewish (%),"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsibility,Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Incarceration rate per 100000,"Gender disparity, elderly (65+), rate",Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories),Average yearly temperature (Celsius)
Montserrat,16199.0,,,0.0,,,,,,,0.1,,,,,,2.0,,,,,,,2833.0,34.8,,,0.46,,,,,,,,,,800.0,,,
Bulgaria,12207.0,78.84,12.7,88.0,,0.795,6.71,,,64.7,13.4,0.1,0.012,6.1,14,5950.0,63.0,40.3,690.0,6.5,1.58,1757.3,25.0,4492326.0,43.7,69.0,1000.0,-0.66,75.1,58.32,93,97.5,29.1,4.1,,,155.71,956.0,12194.0,2854.0,10.55
American Samoa,,,,0.0,,,,,,98.3, 0.1,0.3,,,,,,,,,,,,,27.2,,,-1.74,,,538,92.7,,,,,,282.0,46.0,,
Palau,12084.0,,,2.0,,0.767,,,,77.9, 0.1,0.8,,16.9,10,6240.0,62.1,,1790.0,,,,55.3,,33.9,,,0.39,,,428,84.7,26.6,7.6,,,,1169.0,,,27.6
Mexico,10046.0,48.35,6.5,35700.0,0.6,0.758,6.07,21.0,73.0,88.9,0.01,0.1,0.25,13.7,14,3104.0,52.92,45.4,531.0,5.3,1.82,327.1,28.9,96800000.0,29.3,64.7,1715914.0,0.61,76.0,64.88,175,78.9,30.5,4.9,35.4,,111.87,231.0,18713.0,3157.0,21
Saint Lucia,9824.0,45.66,9.9,70.0,,0.715,,,,, 0.1,,,24.4,,,36.0,51.2,513.0,6.9,1.4,553.9,19.7,90889.0,36.9,68.7,,0.27,74.3,90.9,278,,33.7,3.8,,,80.65,78.0,,2618.0,25.5
Turkey,9661.0,62.52,2.0,2136.0,1.2,0.838,4.48,28.0,82.0,0.2,89-98,0.1,0.090,9.5,12,18190.0,46.21,41.9,388.0,2.3,1.89,1770.7,32.1,69945905.0,32.2,64.6,69012.0,0.64,78.6,38.87,392,88.1,25.0,4.4,8.5,,193.94,635.0,88975.0,3711.0,9.9
World,12230.0,,,,,,,,,,,7.1,100,,,,,,,,2.27,,,,31.0,,,,73.3,,,,,,,,,,,,
Argentina,10761.0,51.51,9.8,2093.0,,0.842,6.95,,66.0,77.0,0.9,0.1,1.1,8.6,16,19981.0,42.91,42.3,1122.0,8.1,1.89,1176.1,28.3,40024673.0,32.4,52.2,582289.0,0.8,76.6,109.39,249,97.9,33.2,5.5,,,195.08,341.0,11514.0,3307.0,14.8
Malaysia,11101.0,103.34,0.9,243.0,,0.803,7.19,,96.0,9.0,63.5,19.8,,8.6,10,4348.0,58.17,41.2,416.0,5.8,1.8,441.2,15.6,25343685.0,29.2,74.0,502082.0,1.01,74.7,52.9,217,47.1,25.0,4.7,,,25.28,1135.0,15354.0,2845.0,25.4
Russia,12259.0,87.01,11.7,9866.0,4.1,0.822,3.31,58.0,34.0,46.6,10–12,0.1,0.96,5.4,14,2646.0,13.67,36.0,609.0,21.6,1.49,2295.0,23.1,129800000.0,40.3,58.9,10278370.0,-0.24,73.2,87.81,,,,,,,,,,,
Kazakhstan,10055.0,56.12,7.7,606.0,,0.811,3.14,,43.0,17.2,70.2,0.2,0.015,10.0,14,1972.0,65.71,27.8,273.0,18.1,3.32,1800.9,21.0,13913699.0,31.6,65.4,1726514.0,0.73,74.0,64.89,184,99.5,25.0,2.8,0.6,,288.12,279.0,1226.0,3067.0,5.5
Turkmenistan,8508.0,,5.4,63.0,,0.745,1.72,,80.0,9.0,93.7,0.1,0.0012,41.8,14,,1.0,40.8,457.0,6.1,2.67,962.1,18.6,1223591.0,29.2,48.4,195109.0,0.95,69.7,60.22,576,97.6,23.3,3.0,,,137.09,2.0,450.0,2830.0,15.1
China,12437.0,172.95,7.2,7157.0,,0.768,2.27,35.8,,,0.45–3,18.2,0.019,7.3,12,2642.0,13.55,38.2,505.0,6.7,1.16,2043.0,6.2,1089140000.0,38.4,58.4,4089997.0,0.18,77.4,60.6,119,73.9,24.9,4.0,19.0,,32.66,527.0,208418.0,3206.0,7.5
Nauru,12390.0,,6.0,,,,,,,, 0.1,1.1,,28.5,,,22.0,,1176.0,,,,61.0,6475.0,27.0,,,0.42,,,140,,21.2,4.9,,,,254.0,,,
Mauritius,8873.0,,3.6,34.0,,0.802,8.14,,,32.2,17.3,0.1,—,16.5,0,2538.0,1368.0,36.8,642.0,8.8,1.41,542.5,10.8,702911.0,36.3,73.0,,0.09,74.1,50.9,197,64.6,25.4,4.8,,,117.27,356.0,80.0,3051.0,22.4
Grenada,8950.0,54.65,9.3,5.0,,0.795,,,,97.3,0.3,,,16.4,,,66.0,,439.0,0.6,2.0,158.2,21.3,63692.0,33.3,,,0.29,72.9,59.4,335,96.2,31.0,3.2,6.4,,86.88,2212.0,,2402.0,26
Montenegro,9252.0,64.44,8.0,15.0,,0.832,5.77,,71.0,78.8,19.1,0.1,—,2.4,14,6387.0,151.0,32.9,727.0,16.2,1.75,1100.8,23.3,505055.0,39.6,60.5,,-0.43,75.9,73.01,153,93.9,28.0,,,,349.21,1006.0,,3500.0,10.55
Serbia,8643.0,77.88,11.1,77.0,,0.802,6.22,,54.0,91.0,2.1,0.1,0.0086,5.6,16,3610.0,56.5,34.5,617.0,7.9,1.48,1898.6,21.5,6182411.0,43.4,63.9,14170.0,-0.63,75.9,53.49,155,96.6,28.6,4.0,28.5,,148.53,1158.0,14901.0,2828.0,10.55
Cuba,11255.0,,6.1,500.0,,0.764,2.84,,,65.0,0.1,0.1,0.0031,5.1,16,44.0,34.0,,973.0,10.2,1.44,233.5,24.6,5638956.0,42.1,27.8,32079.0,-0.19,77.8,55.48,794,99.2,21.3,12.9,,,99.94,187.0,728.0,3344.0,25.2
Dominican Republic,8477.0,,6.9,1172.0,,0.767,6.32,,87.0,83.0, 0.1,0.1,0.00062,33.8,,2613.0,36.0,39.6,328.0,5.1,2.27,218.9,27.6,6997472.0,27.9,61.0,,0.88,72.8,55.25,222,79.8,,4.3,,,73.75,33.0,1866.0,2892.0,24.55
Brazil,7507.0,90.3,7.8,47722.0,1.1,0.754,6.92,16.0,87.0,90.0,0.02–0.7,0.1,0.57,14.7,12,3184.0,71.59,48.9,863.0,6.4,1.64,333.5,22.1,165300000.0,35.2,51.9,3021505.0,0.64,75.9,77.32,389,74.3,30.0,6.2,10.0,,149.28,416.0,46829.0,3301.0,24.95
Saint Vincent and the Grenadines,8440.0,46.51,8.2,32.0,,0.751,,,,,1.7,,,14.1,,2407.0,42.0,,348.0,1.0,1.8,259.6,23.7,72048.0,35.3,65.8,,-0.16,73.2,91.05,347,91,21.2,5.8,,,87.62,280.0,,2968.0,26.8
Dominica,7571.0,37.62,8.2,10.0,,0.72,,,,88.7,0.2,0.1,,35.4,,3081.0,55.0,,485.0,,1.59,147.4,27.9,51467.0,34.9,63.6,,0.02,,55.03,316,,,3.4,,,136.93,292.0,,2952.0,22.35
Gabon,7911.0,,11.5,,,0.706,3.54,,,88.0,10,,,41.7,13,3246.0,35.0,38.0,211.0,13.1,3.49,451.2,15.0,1040000.0,21.0,56.3,,2.39,66.5,59.21,228,60.6,20.4,2.7,,,30.16,85.0,,2633.0,25.05
Armenia,4967.0,,5.5,61.0,,0.759,5.35,,73.0,97.9,0.03,0.1,0.00062,10.9,14,1787.0,102.0,25.2,439.0,2.7,1.57,1985.7,20.2,2043110.0,36.6,67.7,,-0.4,76.0,45.64,72,98.9,27.1,2.3,,,209.03,396.0,396.0,2997.0,7.15
Georgia,4975.0,,9.8,77.0,,0.802,5.31,,81.0,88.1,10.7,,0.0093,9.3,14,93.0,128.0,34.3,332.0,7.7,2.08,1917.7,21.7,3446533.0,38.6,75.9,276.0,0.01,73.3,31.83,265,99.1,28.1,3.8,760.0,,149.26,511.0,581.0,2835.0,5.65
Albania,6396.0,45.25,7.5,66.0,,0.796,6.08,,39.0,17.0,58.8,0.1,,9.8,14,4637.0,66.0,30.8,,,1.39,2491.6,21.7,2105339.0,34.3,66.5,15003.0,0.19,78.0,47.51,174,86.9,27.8,4.0,121.8,1.0,303.72,216.0,390.0,3360.0,11.4
Bosnia and Herzegovina,7143.0,44.85,6.4,32.0,,0.78,4.84,,77.0,45.94,50.7,,0.0031,5.7,14,3949.0,23.0,32.7,528.0,8.3,1.35,1767.2,17.9,2320000.0,43.3,61.9,,-0.23,76.8,36.03,83,86,26.8,,,,174.03,474.0,,3307.0,9.85
Botswana,6805.0,,8.4,273.0,,0.693,7.62,,,71.6,0.4,0.1,0.00062,44.8,8,1933.0,8.0,53.3,420.0,20.2,2.79,433.5,18.9,948977.0,25.7,69.5,,1.37,62.2,24.44,161,40.7,26.4,7.8,,,117.74,332.0,158.0,2342.0,21.5
North Macedonia,6600.0,37.2,,24.0,,0.77,5.89,,76.0,60.4,33.3,0.1,0.00062,5.9,16,2418.0,73.0,30.7,387.0,7.2,1.6,2784.9,22.4,1589659.0,39.0,71.1,,0.11,74.8,36.62,128,82.5,26.9,3.3,,,157.93,540.0,,3072.0,9.8
Peru,6622.0,51.81,6.3,1903.0,,0.762,6.53,,84.0,94.5, 0.1,0.2,0.012,12.8,14,3170.0,44.0,43.8,363.0,2.7,2.19,97.7,19.7,15674241.0,29.1,67.8,40538.0,0.5,79.9,24.41,264,77.7,23.5,3.9,223.0,,62.15,164.0,6885.0,2775.0,19.6
Azerbaijan,5296.0,,0.8,197.0,,0.745,2.68,,50.0,3.1,97.3,0.1,0.044,19.4,14,2435.0,22.0,33.7,165.0,4.0,1.52,1525.6,19.9,7763795.0,32.6,65.4,666869.0,0.63,71.4,34.08,219,98.4,24.0,2.5,725.0,,152.07,174.0,542.0,3149.0,11.95
Belarus,7121.0,68.73,11.2,225.0,,0.808,2.59,,34.0,55.4,0.5–1.0,0.1,0.052,2.9,14,0.0,66.0,24.4,342.0,16.5,1.48,2911.3,24.5,7048231.0,40.9,57.9,31756.0,-0.32,74.8,81.47,345,98.6,26.1,4.8,,,133.73,272.0,8205.0,3270.0,6.15
Thailand,7067.0,206.81,8.3,3307.0,1.2,0.8,6.04,,97.0,1.1,5.4,93.2,0.0012,8.7,7,3733.0,49.09,35.0,276.0,8.0,1.33,837.4,10.0,54043108.0,39.0,68.3,143083.0,0.2,77.7,27.37,377,78.7,21.0,4.1,0.4,,29.35,312.0,6750.0,2804.0,26.3
Belize,6229.0,49.44,6.7,125.0,,0.683,,,,76.7,0.2,0.5,,11.7,7,5850.0,75.0,49.8,287.0,7.7,2.01,168.6,24.1,176400.0,23.9,55.4,1106.0,1.61,74.4,41.09,289,44.8,28.6,7.4,,,80.3,114.0,,2775.0,25.35
Colombia,6104.0,53.73,5.8,14159.0,3.1,0.752,7.04,27.0,83.0,92.0,0.2,0.1,0.013,13.2,14,4516.0,56.03,54.2,517.0,3.7,1.72,351.4,22.3,30548252.0,31.2,67.3,751876.0,0.54,79.3,55.91,196,81.4,22.7,4.5,971.0,,108.47,296.0,17066.0,3114.0,24.5
Jamaica,5184.0,37.95,4.2,1474.0,,0.709,7.13,,,68.9,0.2,0.1,0.0031,13.3,,4461.0,122.0,35.0,334.0,2.3,1.35,312.5,24.7,1409888.0,29.4,68.6,,0.09,76.0,58.97,125,66.6,33.2,5.4,,,91.13,175.0,,2792.0,24.95
Equatorial Guinea,7605.0,,11.3,,,0.596,1.92,,,88.7,10,,,78.5,16,2792.0,12.0,,271.0,13.5,4.27,328.2,8.0,332642.0,20.3,41.0,,3.36,62.2,,63,67.2,20.5,0.6,,,,9.0,,,24.55
Ecuador,5965.0,,4.4,2496.0,,0.74,6.13,,82.0,94.0, 0.1,0.1,0.0037,13.0,12,5850.0,57.0,47.3,497.0,7.7,2.03,93.5,19.9,9521056.0,28.8,46.9,479518.0,1.1,78.4,45.22,167,77.7,21.8,5.0,,,139.6,308.0,4153.0,2606.0,21.85
Moldova,4468.0,114.01,15.2,93.0,,0.767,5.78,,72.0,91.8,0.4,,0.012,14.5,14,2715.0,70.0,26.0,276.0,12.2,1.81,1747.2,18.9,3083783.0,37.7,59.1,,-1.14,73.3,38.12,236,95.8,26.0,6.7,,,155.18,211.0,4559.0,2383.0,9.45
South Africa,7055.0,43.91,9.3,24865.0,,0.713,7.05,14.0,85.0,85.3,1.9,0.2,0.32,32.2,12,3671.0,65.81,63.0,569.0,23.5,2.37,509.6,28.3,31858027.0,28.0,58.3,950.0,0.91,65.3,60.03,250,72.1,33.0,6.2,36.0,,55.75,472.0,5418.0,2899.0,17.75
Marshall Islands,6111.0,,,2.0,,0.639,,,,, 0.1,,,30.7,,4160.0,52.0,,737.0,,2.73,,52.9,20560.0,23.8,,,1.3,,,66,89.4,24.2,15.8,,,,128.0,,,27.4
Fiji,4647.0,,3.0,20.0,,0.73,5.72,,,64.4,6.3,0.1,,27.4,10,3232.0,18.0,30.7,216.0,9.5,2.48,491.1,30.2,452479.0,29.9,62.2,,0.42,68.0,43.85,256,,24.1,3.9,,,40.2,522.0,401.0,2781.0,24.4
Kosovo,5663.0,54.39,,33.0,,,,,90.0,,95.6,,,,14,2413.0,37.0,29.0,,,1.52,,,,30.5,67.0,,0.62,,,,,,,,,,,,,
Iraq,4686.0,,0.4,3339.0,,0.686,3.62,,84.0,1.2,95-98,0.1,,25.2,9,2069.0,44.0,29.5,227.0,4.7,3.5,1184.4,30.4,18892351.0,21.2,,,1.94,72.4,,179,20.4,25.3,3.5,304.0,,22.18,454.0,,2608.0,21.4
Libya,5791.0,,0.0,,,0.718,1.95,,,2.7,97,0.3,,11.1,14,1169.0,9.0,,,4.5,2.46,327.2,32.5,1387116.0,25.8,,,1.54,75.8,,176,24.2,29.2,2.3,405.0,,75.0,97.0,26.0,,21.8
Paraguay,6035.0,56.89,7.2,525.0,,0.717,6.18,,92.0,96.0, 0.1,0.1,0.0068,18.9,14,4055.0,54.0,43.5,421.0,6.2,2.47,384.5,20.3,4160340.0,29.7,61.8,,1.12,75.8,54.07,234,77.8,22.7,3.4,,,75.72,55.0,1007.0,2768.0,23.55
Tuvalu,5370.0,,1.7,0.0,,0.641,,,,,0.1,0.1,,22.0,,,37.0,,801.0,,3.16,,51.6,5520.0,26.6,,,0.81,,,110,,22.1,3.7,,,,187.0,,,27.65
Suriname,5259.0,,5.1,35.0,,0.73,6.82,,,50.0,14.3,0.6,0.0012,17.6,,,30.0,57.9,450.0,25.9,2.35,511.7,26.4,275785.0,31.0,48.1,14000.0,1.11,71.5,42.4,185,76,29.3,,,,48.97,100.0,47.0,2698.0,25.7
El Salvador,4551.0,,3.7,1147.0,,0.675,5.9,,83.0,81.9,0.28,0.1,0.00062,12.9,12,3650.0,56.0,38.8,345.0,6.1,1.8,206.7,24.6,1993079.0,27.7,61.8,,0.46,75.0,30.52,1 086,65.7,22.5,3.8,,,124.34,16.0,661.0,2696.0,24.45
Tonga,4451.0,,1.5,1.0,,0.745,,,,81.0, 0.1,0.1,,11.4,,,54.0,,219.0,4.4,3.24,986.9,48.2,44558.0,24.1,57.7,,-0.3,72.6,,166,98.9,23.6,3.9,,,,301.0,,,25.25
Guatemala,4883.0,,2.4,3520.0,,0.627,4.97,,88.0,87.0, 0.1,0.1,0.0056,23.6,,3924.0,28.0,48.3,266.0,6.2,2.4,111.8,21.2,11750000.0,23.2,62.6,6188.0,1.54,72.0,36.39,127,50.7,21.3,2.8,315.0,,46.6,24.0,1042.0,2551.0,23.45
Mongolia,4510.0,43.67,7.4,206.0,,0.739,6.48,,,1.3,5,55.1,,15.4,14,2316.0,245.0,32.7,158.0,18.0,2.84,1982.5,20.6,729236.0,29.8,55.4,15888.0,0.83,68.1,88.38,183,94.6,26.0,4.1,,,139.82,194.0,285.0,2579.0,1.7
Ukraine,4596.0,67.52,8.6,1673.0,34.0,0.773,5.81,,46.0,81.9,0.9–1.2,0.1,0.28,8.1,14,2946.0,81.0,25.6,221.0,17.7,1.16,1849.4,24.1,28570000.0,41.2,52.3,6672.0,-0.52,73.0,46.92,123,100,25.9,5.4,168.0,,145.03,434.0,24416.0,3102.0,8.3
Indonesia,4333.0,,0.8,1419.0,0.7,0.705,6.3,11.0,99.0,10.49,86.7,0.8,0.00062,23.0,12,2449.0,29.1,37.9,112.0,2.6,2.17,1675.5,6.9,215626156.0,31.1,65.8,610532.0,0.76,71.3,11.7,99,70.1,20.0,3.6,136.0,,14.82,181.0,135081.0,2884.0,25.85
Algeria,3700.0,,0.9,695.0,4.8,0.745,3.77,,95.0,0.01,99,0.1,,23.7,13,1777.0,2.0,27.6,258.0,2.2,2.89,1046.7,27.4,26350000.0,28.9,46.2,,1.27,77.1,18.06,217,19.5,28.2,4.3,,,141.53,176.0,3955.0,3322.0,22.5
Jordan,4058.0,67.35,0.7,114.0,,0.72,3.62,,,6.0,97.2,0.4,,15.0,12,5408.0,83.0,35.4,322.0,2.0,2.83,2306.1,35.5,6480202.0,23.5,66.5,20.0,0.79,77.9,37.91,185,87.7,26.6,3.6,0.0,,77.68,587.0,511.0,2732.0,18.3
Namibia,4836.0,,9.8,315.0,,0.615,6.52,,,90.0,0.4,0.1,0.00062,40.2,7,,64.0,59.1,473.0,13.5,3.3,298.4,17.2,933450.0,21.8,58.7,,1.8,64.6,30.53,318,56.7,29.2,8.4,,,73.05,205.0,106.0,2469.0,19.95
Samoa,3919.0,,2.5,13.0,,0.707,,,,, 0.1,,,17.0,,1625.0,51.0,,198.0,14.6,3.93,1470.6,47.3,66023.0,25.6,62.2,,0.65,70.5,96.68,179,96.3,24.1,4.1,,,52.55,350.0,,3030.0,26.7
Cape Verde,3293.0,,5.7,36.0,,0.662,7.65,,,89.1,2,,,14.2,16,1673.0,99.0,42.4,179.0,15.2,1.9,397.1,11.8,,26.8,,,1.19,,32.18,,,,,,,,,,,
Micronesia,3573.0,,2.5,1.0,,0.628,,,,, 0.1,,,24.7,,,29.0,40.1,422.0,29.0,2.71,,,37257.0,,51.9,,-0.7,,,,,,,,,,,,,
Vietnam,3756.0,66.38,8.3,1358.0,,0.703,2.94,,30.0,7.1,0.1,16.4,,20.9,14,1591.0,39.1,35.7,164.0,7.2,1.94,1049.6,2.1,68172134.0,31.9,55.3,179249.0,0.93,,63.34,130,76.9,22.8,4.3,16.6,,16.36,177.0,24589.0,3025.0,24.45
Iran,6766.0,,1.0,1936.0,2.6,0.774,2.2,,,0.95,99.4,0.1,0.059,12.9,12,20881.0,2.0,40.9,463.0,5.1,1.69,936.5,25.8,78086663.0,31.7,51.1,,0.93,77.3,35.98,,,,,,,,,,,
Tunisia,3807.0,,1.9,562.0,,0.731,6.59,,93.0,,97.8,0.1,0.0062,16.6,13,2000.0,97.0,35.8,212.0,3.2,2.09,1580.0,26.9,6400330.0,32.7,55.4,33320.0,0.63,77.0,28.36,196,39.8,28.7,6.6,,,114.47,710.0,720.0,3450.0,19.2
Eswatini,3969.0,,,151.0,,0.597,3.08,,,82.7,2,,,46.6,,694.0,14.0,54.6,291.0,40.5,2.84,,16.5,414278.0,23.7,54.7,,0.72,57.7,,243,45.2,26.5,7.1,,,56.6,125.0,,2426.0,21.4
Morocco,3853.0,,0.6,716.0,,0.683,5.04,,97.0,1.0,99,0.1,0.013,18.7,12,3997.0,46.0,39.5,175.0,7.3,2.33,682.3,26.1,22072765.0,29.1,62.9,25.0,0.88,73.0,35.12,260,34.1[8],25.7,5.4,,,54.68,259.0,3677.0,3412.0,17.1
Philippines,3461.0,49.31,6.6,4764.0,,0.699,6.56,,96.0,85.3,5–11,2.0,0.00062,26.4,15,3009.0,58.9,41.2,126.0,2.5,2.75,1132.2,6.4,73003313.0,24.1,63.8,925.0,1.58,70.4,37.04,162,90.1,25.3,3.2,424.0,,15.66,51.0,1507.0,2662.0,25.55
Bolivia,3345.0,,4.8,422.0,,0.692,5.08,,89.0,89.0, 0.1,0.1,0.0031,25.4,14,4444.0,33.0,43.6,229.0,6.8,2.62,291.6,20.2,4843916.0,25.3,42.3,28460.0,1.06,72.1,71.4,175,67.5,24.1,7.3,,,46.04,38.0,1578.0,2412.0,21.55
Palestine,3514.0,,,45.0,,0.715,3.83,,,,97.5,0.1,,,,6985.0,35.0,,,,3.5,,,3208312.0,18.0,,,,,,,,,,,,,,,,
Egypt,3898.0,39.66,0.4,1360.0,,0.731,2.93,,97.0,10.0,90–94.7,0.1,0.00062,19.5,12,,42.72,31.5,120.0,3.4,2.92,1449.4,32.0,75660000.0,24.1,52.5,567652.0,1.59,71.8,26.29,116,43.2,25.0,3.8,1200.0,,59.46,298.0,23000.0,3292.0,22.1
Djibouti,3348.0,,0.5,,,0.509,2.71,,96.0,6.0,97,,,55.9,13,,71.0,41.6,64.0,11.9,2.8,785.5,13.5,532849.0,24.9,47.1,,1.93,65.8,15.04,71,,26.9,8.4,,,59.81,36.0,,2694.0,28
Bhutan,3063.0,,0.6,19.0,,0.666,5.71,,,1.0,0.2,74.7,,27.6,10,609.0,108.0,37.4,102.0,5.1,1.41,,6.4,388541.0,29.1,62.9,,0.96,73.1,,145,14.9,22.8,6.6,0.0,,,265.0,,,7.4
Vanuatu,3073.0,,1.0,1.0,,0.607,,,,, 0.1,0.1,,24.9,10,3240.0,27.0,,102.0,21.0,3.73,1069.2,25.2,71050.0,23.0,56.4,,1.59,65.3,36.03,65,44.2,20.8,4.7,,,25.21,173.0,,2607.0,23.95
Venezuela,3965.0,,5.6,5444.0,,0.691,2.76,,79.0,88.0,0.4,0.1,0.037,24.2,,10.32,23.0,44.8,165.0,2.1,2.21,396.2,25.6,20564451.0,30.0,25.9,,2.4,73.9,40.94,199,88.1,22.7,3.6,,,117.79,49.0,2275.0,2120.0,25.35
Sri Lanka,3918.0,,4.3,742.0,,0.782,6.14,,99.0,7.4,9.7,69.3,,6.9,12,603.0,68.0,39.3,159.0,12.9,1.99,254.6,5.2,7121116.0,33.7,56.4,,0.59,76.9,9.04,128,81,23.4,2.8,,,34.98,128.0,4115.0,2737.0,26.95
Lebanon,6785.0,,1.5,128.0,,0.706,4.16,,87.0,39.5,67.8,0.2,,7.0,7,5373.0,220.0,31.8,745.0,2.8,2.09,2037.5,32.0,4755187.0,33.7,51.1,,0.64,76.4,23.97,143,60.2,28.8,2.5,,,114.52,628.0,2000.0,2857.0,15
Honduras,2772.0,,4.0,3931.0,,0.621,5.36,,,88.0,0.3,0.1,,16.2,,2420.0,38.0,48.2,178.0,2.6,2.36,469.8,21.4,2977793.0,24.4,60.2,,1.16,71.9,33.09,191,66.3,21.2,6.0,1235.0,,91.33,37.0,102.0,2673.0,23.5
São Tomé and Príncipe,2486.0,,6.8,6.0,,,,,,,3,,,16.1,16,,,40.7,115.0,2.2,3.82,,12.4,61155.0,,54.0,,1.45,,,,,,,,,,,,,
Congo,2200.0,,7.8,,,,,,,,2,,,44.6,,,,48.9,48.0,11.6,4.17,195.2,,455055.0,,,,2.33,,,27,73.1,21.0,4.6,,,10.69,68.0,,2285.0,24.55
Ivory Coast,2539.0,49.33,8.4,,,0.55,4.11,,,,42.9,,,77.9,,,24.0,37.2,71.0,15.7,4.42,352.7,10.3,,,,,2.16,,,,,,,,,,,,,
Bangladesh,2450.0,36.02,0.0,3830.0,,0.661,5.99,,99.0,0.3,91.0,0.5,,29.1,9,212.0,22.0,49.9,45.0,3.9,1.98,744.1,3.6,126210000.0,27.9,55.6,3000.0,0.91,74.3,4.04,46,39.4,25.0,2.0,307.0,,21.91,48.0,,2563.0,25
India,2274.0,54.17,5.7,41330.0,2.4,0.633,6.61,,90.0,2.3,14.6,0.8,0.030,32.6,7,674.0,16.83,35.7,58.0,12.9,2.03,89.3,3.9,881250000.0,28.7,55.2,607890.0,0.7,70.8,3.78,40,45.4,25.3,2.9,12.6,,84.5,138.0,90000.0,2533.0,23.65
Nicaragua,2046.0,,5.2,754.0,,0.667,3.6,,84.0,84.6, 0.1,0.1,0.0015,16.0,13,1506.0,83.0,46.2,168.0,4.7,2.32,327.8,23.7,1732218.0,27.3,57.7,,0.91,75.0,30.82,332,49.2,20.6,4.3,,,85.16,21.0,27.0,2582.0,24.9
Papua New Guinea,2673.0,,1.2,713.0,,0.558,6.1,,,97.0, 0.1,0.1,,43.9,7,2086.0,111.0,41.9,59.0,3.6,3.21,1689.3,21.3,924955.0,24.0,58.4,35917.0,2.31,65.3,,58,33,21.4,,,,,25.0,122.0,,25.25
Angola,2258.0,,6.4,1196.0,,0.586,3.66,,,75.0,0.3,0.1,,71.5,14,663.0,41.0,51.3,84.0,,5.3,340.2,8.2,4271053.0,15.9,50.6,,3.34,63.1,23.49,79,27,21.4,3.5,,,12.3,5.0,22.0,2385.0,21.55
Uzbekistan,2032.0,39.2,2.7,479.0,,0.727,2.12,,51.0,2.6,88.7,0.1,0.018,13.9,13,1041.0,24.0,36.7,82.0,8.3,3.17,495.9,16.6,16692456.0,30.1,53.3,34379.0,0.81,73.0,34.41,85,99.8,22.7,6.3,,,130.81,99.0,1003.0,3011.0,12.05
Mauritania,2166.0,,0.0,46.0,,0.556,3.92,,98.0,0.14,99.9,,,70.7,7,982.0,76.0,32.6,59.0,5.5,4.4,30.3,12.7,919398.0,21.0,55.7,,1.96,68.4,31.06,57,26.6,19.0,2.6,,,160.82,20.0,,2877.0,27.65
Ghana,2409.0,51.93,2.7,603.0,,0.632,6.5,,95.0,71.3,19.9,0.1,,44.7,12,433.0,30.0,43.5,74.0,10.5,3.56,40.5,10.9,15065541.0,21.4,57.5,179890.0,2.19,66.3,13.73,47,34.9,21.7,3.6,32.9,,9.08,136.0,28.0,3035.0,27.2
Solomon Islands,2306.0,,1.4,19.0,,0.564,,,,, 0.1,0.3,,19.4,8,933.0,40.0,,92.0,17.4,3.98,1419.1,22.5,72872.0,23.5,54.6,,1.69,65.2,11.74,79,,20.3,7.3,,,11.52,85.0,,2415.0,25.65
Kenya,2082.0,,3.4,2796.0,,0.575,5.05,,94.0,85.5,11.2,0.1,0.0019,41.9,8,702.0,26.0,40.8,76.0,11.0,3.33,264.4,7.1,8861485.0,20.0,55.1,,2.09,66.1,15.94,107,54,20.2,5.2,73.3,,94.86,86.0,300.0,2197.0,24.75
Haiti,1664.0,,5.8,1489.0,,0.535,4.22,,,96.0, 0.1,0.1,,60.5,,1014.0,24.0,41.1,62.0,11.2,2.81,143.0,22.7,1353986.0,24.1,52.7,,1.18,64.1,17.61,98,8.5,23.7,2.5,34.0,,18.98,11.0,,2121.0,24.9
Zimbabwe,1508.0,,4.8,982.0,,0.593,3.16,,88.0,87.0,0.7,0.1,0.0012,53.9,7,,77.0,50.3,115.0,23.6,3.49,122.9,15.5,4472992.0,20.5,40.4,,1.95,60.7,17.67,121,81.1,19.9,6.1,848.0,,31.9,71.0,232.0,1908.0,21
Kiribati,1765.0,,0.4,8.0,,0.624,,,,, 0.1,,,49.6,,2033.0,8.0,,192.0,30.6,3.3,1396.0,46.0,16971.0,25.7,47.3,,1.02,59.4,29.96,113,,20.1,12.0,,,10.93,141.0,,3078.0,28.2
Cambodia,1608.0,,6.7,268.0,,0.593,3.1,,96.0,1.0,2,97.9,,25.7,14,,57.0,36.0,94.0,5.5,2.34,726.2,3.9,5441827.0,26.4,57.8,,1.04,70.1,12.34,219,53.1,21.0,1.9,,,3.47,34.0,,2492.0,26.8
