Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Muslim percentage of total population,Buddhist (%),Jewish (%),"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsibility,Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Incarceration rate per 100000,"Gender disparity, elderly (65+), rate",Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories),Average yearly temperature (Celsius)
Sweden,60730.0,169.0,9.2,113.0,1.3,0.947,9.26,46.0,17.0,64.3,7.1,0.4,0.093,2.6,15,,171.81,26.8,6005.0,12.4,1.67,716.2,20.6,9554907.0,41.1,75.2,,0.51,82.4,77.07,74,,33.9,7.7,36.0,,341.23,4141.0,8118.0,3184.0,1.75
Finland,53703.0,119.32,10.7,91.0,,0.94,9.2,41.0,,67.1,1.8,0.1,0.0080,2.3,15,,71.3,25.7,4522.0,13.4,1.46,1098.8,22.2,5410000.0,42.8,74.9,,0.22,81.6,76.7,51,,32.1,6.9,7.9,,430.76,3948.0,10208.0,3343.0,1.55
Macau,43555.0,170.3,,3.0,,,,,,,0.1,17.3,,,,9972.0,,36.0,,,1.09,,,,40.8,71.0,,0.71,,,,,,,,,,,,,
Belgium,51166.0,107.12,12.1,125.0,1.2,0.937,7.51,43.0,,65.0,7.6,0.2,0.18,4.2,12,24005.0,104.42,24.9,5142.0,13.9,1.6,2440.9,22.1,10021242.0,41.6,67.3,,0.55,81.4,65.78,97,,30.0,6.5,11.7,1.0,236.19,2976.0,13913.0,3769.0,9.55
Canada,52112.0,175.61,8.9,788.0,1.2,0.936,9.24,59.0,42.0,53.3,4.9,0.8,2.4,5.0,12,24128.0,126.94,30.3,5053.0,10.3,1.43,1021.3,29.4,33950632.0,41.8,77.7,4543800.0,0.73,82.2,82.63,85,,29.6,5.5,10.0,,187.77,3184.0,10433.0,3566.0,−5.10
Israel,54111.0,147.36,3.8,173.0,4.5,0.919,7.84,46.0,51.0,3.5,18,0.3,,3.6,12,19690.0,29.28,38.6,3220.0,5.2,3.0,1280.7,26.1,6788737.0,30.4,72.8,,1.43,82.6,97.02,168,79.8,28.2,5.8,29.0,,193.6,2402.0,8411.0,3528.0,19.2
Germany,51073.0,120.93,13.4,695.0,1.4,0.942,8.67,30.0,40.0,53.9,5.4–5.7,0.3,0.73,3.7,14,29520.0,65.33,29.7,5504.0,8.3,1.58,1599.5,22.3,77794405.0,47.8,73.5,33242.0,-0.12,81.7,87.79,67,,32.1,4.8,31.4,,258.7,2097.0,79916.0,3554.0,8.4
Hong Kong,49259.0,265.17,,23.0,,0.952,5.57,,24.0,18.4,4.1,13.2,,,10,10039.0,504.1,53.9,,,0.77,,,,45.6,90.2,,0.15,,137.08,106,,30.6,3.3,,,105.85,3273.0,14603.0,3267.0,21.45
United Arab Emirates,43295.0,151.09,3.8,44.0,,0.911,2.7,,91.0,9.0,72,2.0,,6.6,7,,59.69,26.0,1915.0,5.2,1.46,748.5,31.7,8913217.0,38.4,77.1,,0.58,76.1,62.03,104,42.1,25.3,1.3,,,132.66,1061.0,293.0,3314.0,26.65
British Virgin Islands,49444.0,,,2.0,,,,,,94.0,1.2,,—,,,,2.0,,,,1.0,,,14456.0,37.2,,,1.87,,,,,,,,,,,,,
United Kingdom,46542.0,92.63,11.4,,2.2,0.929,8.54,49.0,27.0,38.0,3.3,0.4,1.8,4.2,11,29690.0,287.08,36.6,4228.0,6.9,1.56,827.7,27.8,65001016.0,40.6,78.9,744965.0,0.49,81.4,79.9,143,,31.7,3.9,54.4,,232.2,2959.0,186000.0,3344.0,8.45
New Zealand,48824.0,153.88,10.7,129.0,,0.937,9.25,39.0,,37.0,0.9,1.6,0.046,4.7,10,33487.0,81.76,33.9,3958.0,10.3,1.64,685.1,30.8,4273353.0,37.2,84.4,6551.0,1.06,82.0,100.9,162,,29.4,6.4,217.3,,137.25,3286.0,2526.0,3191.0,19.53
France,44229.0,192.25,12.6,734.0,,0.903,7.99,45.0,30.0,51.1,8.8,0.5,2.8,4.4,13,24259.0,112.06,29.3,4669.0,9.7,1.83,1089.9,21.6,59470000.0,41.7,63.8,11969.0,0.31,82.5,83.05,107,,32.0,5.4,45.0,,241.31,1664.0,106799.0,3502.0,10.7
Andorra,42066.0,191.23,11.3,2.0,,0.858,,,,89.5,2.6,0.1,,2.5,12,18253.0,41.0,,3188.0,,,6398.3,25.6,76095.0,46.2,,,-0.11,,,64,,,3.2,,,,453.0,57.0,,7.6
European Union,31875.0,,,,,,,,,,,,,,,,,30.6,,,,,,,44.0,,,,,,,,,,,,,,,,
US Virgin Islands,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,33642.0,134.48,8.1,2.0,,0.918,7.68,,86.0,91.6,2.6,0.1,0.0031,6.5,,11245.0,691.0,31.0,2754.0,5.3,1.14,1527.9,28.9,344970.0,42.3,68.6,,0.59,81.9,82.06,113,85.8,28.5,5.3,,,190.06,1974.0,511.0,3420.0,19.2
Italy,35579.0,90.93,7.5,303.0,1.7,0.895,7.74,25.0,72.0,83.0,4.8,0.2,0.17,2.9,14,,143.09,35.2,3003.0,4.3,1.25,1493.3,19.9,50540000.0,46.5,62.2,83151.0,-0.11,83.0,80.96,97,96.7,31.5,3.8,8.4,,246.88,2159.0,125948.0,3503.0,13.45
Puerto Rico,32716.0,,,556.0,,,,,,89.0, 0.1,0.3,0.0093,,,,161.93,,,,0.91,,,2664928.0,43.6,,,-1.29,,,221,84.5,,6.1,,,,265.0,,,
New Caledonia,34994.0,,,8.0,,,,,,,2.8,0.6,,,,,1.0,,,,2.02,,,226557.0,32.9,,,1.17,,68.61,195,90.6,,,,,108.0,676.0,,2858.0,
Sint Maarten,26199.0,,,,,,,,,,,,,,,,,,,,1.58,,,,41.1,,,1.19,,,196,,,,,,,,,,
Guam,,,,7.0,,,,,,, 0.1,1.1,,,,,,,,,2.57,,,132221.0,29.4,,,0.13,,,408,95.9,,,,,,494.0,,,
Aruba,29342.0,,,2.0,,,,,,88.0,0.4,0.1,—,,,,28.0,,,,1.18,,,102285.0,39.9,,,1.11,,,238,88.9,,,,,,198.0,,,
Cyprus,32281.0,50.46,10.8,16.0,,0.896,7.56,,75.0,79.0,25.3,0.2,0.0031,2.8,14,,849.0,29.4,2021.0,3.2,1.32,1961.4,21.8,952369.0,37.9,68.1,,1.0,83.1,72.83,103,93.8,29.6,6.4,,,113.31,4087.0,930.0,3019.0,18.45
Brunei,31449.0,,0.4,2.0,,0.829,,,,7.1,80.9,8.6,,11.5,7,,2.8,,754.0,2.5,1.78,9.7,14.1,406705.0,31.1,,83759.0,1.43,,,,,,,,,,,,,
Bahamas,27478.0,55.99,4.4,119.0,,0.812,,,,95.0,0.1,0.1,0.0012,12.3,,,194.0,,1920.0,3.4,1.39,438.6,31.6,336057.0,,,,0.8,73.2,67.05,409,,27.0,2.8,,,104.76,219.0,,2655.0,24.85
Japan,39650.0,167.18,8.0,285.0,1.1,0.925,8.13,60.0,24.0,1.1,0.1,36.2,0.0062,2.5,14,16924.0,98.44,33.4,4288.0,12.2,1.3,1583.2,4.3,117400000.0,48.6,72.1,3243.0,-0.41,84.3,49.33,36,,30.0,3.6,0.2,,72.06,1016.0,139078.0,2705.0,11.15
South Korea,34940.0,241.58,10.2,270.0,2.7,0.925,8.01,69.0,43.0,,0.1,22.9,0.00062,3.0,12,20990.0,38.62,34.5,2519.0,21.2,0.81,1667.4,4.7,49421084.0,43.2,72.3,,0.23,83.3,70.71,103,,31.0,5.1,2.0,,29.05,1762.0,63476.0,3420.0,11.5
Spain,30058.0,186.4,10.0,290.0,1.5,0.905,8.12,41.0,49.0,59.2,2.6,0.1,0.080,3.2,18,17457.0,111.84,33.0,2741.0,5.3,1.19,1499.0,23.8,42400756.0,43.9,65.7,19.0,0.12,83.2,100.26,116,94.7,33.6,4.2,8.6,,164.29,2202.0,83622.0,3322.0,13.3
Saudi Arabia,23186.0,90.24,0.2,285.0,,0.875,2.08,26.0,93.0,5.0,96.2,0.3,,7.0,12,12800.0,23.83,45.9,1291.0,5.4,2.43,1341.0,35.4,34840000.0,30.8,60.7,,1.65,74.3,54.13,207,51.4,20.4,5.6,,,83.65,1037.0,2387.0,3307.0,24.65
Slovenia,29135.0,108.47,12.6,9.0,,0.918,7.54,41.0,47.0,68.0,3.6,0.1,0.00062,2.2,14,17079.0,104.0,23.5,2170.0,14.0,1.64,2236.5,20.2,1640893.0,44.9,65.5,,-0.08,81.3,76.4,70,99.3,30.7,4.8,5.0,1.0,235.01,3228.0,5076.0,3191.0,8.9
Taiwan,,163.85,,,1.6,,8.94,,,,0.3,21.3,0.00062,,13,11973.0,24.4,34.1,,,,,,21920626.0,42.3,77.3,196.0,0.03,,77.57,234,,30.4,,,,41.72,1677.0,28084.0,2983.0,
Kuwait,32150.0,130.66,0.0,11.0,4.5,0.831,3.8,,91.0,15.0,74.6,2.8,,8.9,7,2400.0,0.42,,1661.0,2.7,2.11,1412.7,37.9,4053797.0,29.7,60.8,,1.13,81.0,67.12,103,69.5,27.5,3.8,,,157.66,502.0,196.0,3471.0,27.15
Estonia,27991.0,78.58,,26.0,,0.89,7.84,41.0,16.0,26.8, 0.1,0.1,0.012,2.1,14,10578.0,89.0,30.6,1553.0,12.0,1.61,1759.9,21.2,1153786.0,43.7,76.6,,-0.74,78.9,63.64,150,99.7,30.4,5.2,8.0,,284.85,2865.0,5809.0,3247.0,2
Czech Republic,26809.0,85.89,14.4,47.0,,0.889,7.67,31.0,,11.7,0.1–0.2,0.1,0.024,2.9,15,8683.0,61.47,24.1,1753.0,9.5,1.83,2427.9,26.0,8358728.0,43.3,73.7,1687.0,0.0,79.1,82.79,,,,,,,,,,,
Lithuania,23844.0,132.67,15.0,72.0,,0.875,7.13,55.0,42.0,79.4,0.1,0.1,0.015,3.3,14,13899.0,74.0,35.1,1249.0,20.2,1.34,1292.0,26.3,2243448.0,44.5,74.2,700.0,-1.04,76.0,81.28,177,99.8,28.3,4.0,14.1,,295.46,1667.0,3479.0,3411.0,6.2
Bahrain,26563.0,58.53,1.9,1.0,,0.875,2.49,,94.0,15.0,73.7,2.5,,6.8,15,,66.0,,1049.0,7.2,1.81,1101.5,29.8,1431090.0,32.9,66.4,188469.0,0.85,75.8,,234,42.3,26.3,2.3,,,,710.0,40.0,,26.8
Portugal,24651.0,150.39,12.3,82.0,,0.866,7.9,33.0,,84.8,0.4,0.6,0.019,3.3,16,9935.0,164.48,31.2,2216.0,7.2,1.38,1133.4,20.8,7622142.0,44.6,65.3,,-0.17,81.6,94.07,122,80.5,32.4,4.9,8.0,,205.04,2821.0,18925.0,3480.0,15.15
Latvia,21267.0,128.69,12.9,57.0,,0.863,7.24,40.0,39.0,70.0,0.1–0.2,0.1,0.028,4.0,14,8799.0,126.0,35.7,1101.0,16.1,1.57,1189.1,23.6,1585471.0,44.4,70.4,,-1.13,75.4,68.73,169,99.9,30.6,4.7,35.3,,174.11,1349.0,2375.0,3229.0,5.6
Slovakia,21390.0,101.28,11.5,55.0,,0.848,6.97,31.0,,68.8,0.1–0.2,0.1,0.016,5.8,14,9914.0,112.0,23.2,1300.0,9.3,1.64,1500.9,20.5,4446926.0,41.8,65.0,43.0,-0.12,78.2,59.35,187,,29.4,3.9,19.5,1.0,143.14,1597.0,9400.0,2871.0,6.8
Greece,20571.0,36.73,10.4,89.0,3.7,0.887,7.39,40.0,71.0,93.0,2–3.7,0.1,0.025,4.1,15,11070.0,322.85,33.1,1603.0,3.6,1.39,2078.6,24.9,7923438.0,45.3,57.7,1497.0,-0.35,81.1,71.7,103,92.5,30.1,4.1,37.1,,255.26,1884.0,9583.0,3382.0,15.4
Poland,17736.0,130.98,11.6,273.0,,0.876,6.85,43.0,75.0,94.3,0.02,0.1,0.028,4.4,13,11192.0,49.3,27.2,979.0,9.3,1.33,1363.1,23.1,34697848.0,41.9,67.8,17151.0,-0.28,78.3,88.71,208,93,27.0,4.6,8.0,,205.39,1364.0,21130.0,3537.0,7.85
Saint Martin,,,,10.0,,,,,,,,,,,,,,,,,2.42,,,,33.3,,,,,,,,,,,,,,,,
Barbados,17225.0,105.71,9.6,32.0,,0.79,,,,74.0,1.5,0.1,0.00062,12.2,,8840.0,100.0,,1193.0,0.3,1.63,277.5,23.1,233604.0,39.5,64.7,1000.0,0.24,76.0,71.38,258,98.5,31.8,4.7,,,110.48,542.0,,2956.0,26
