,Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Buddhist (%),"2020 mortality rate, under-5 (per 1000 live births)",Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories)
21,Bolivia,3345.0,,4.8,422.0,,0.692,5.08,,89.0,89.0,0.1,25.4,4444.0,33.0,43.6,229.0,6.8,2.62,291.6,20.2,4843916.0,25.3,42.3,28460.0,1.06,72.1,71.4,24.1,7.3,,,46.04,38.0,1578.0,2412.0
22,Bosnia and Herzegovina,7143.0,44.85,6.4,32.0,,0.78,4.84,,77.0,45.94,,5.7,3949.0,23.0,32.7,528.0,8.3,1.35,1767.2,17.9,2320000.0,43.3,61.9,,-0.23,76.8,36.03,26.8,,,,174.03,474.0,,3307.0
23,Botswana,6805.0,,8.4,273.0,,0.693,7.62,,,71.6,0.1,44.8,1933.0,8.0,53.3,420.0,20.2,2.79,433.5,18.9,948977.0,25.7,69.5,,1.37,62.2,24.44,26.4,7.8,,,117.74,332.0,158.0,2342.0
24,Brazil,7507.0,90.3,7.8,47722.0,1.1,0.754,6.92,16.0,87.0,90.0,0.1,14.7,3184.0,71.59,48.9,863.0,6.4,1.64,333.5,22.1,165300000.0,35.2,51.9,3021505.0,0.64,75.9,77.32,30.0,6.2,10.0,,149.28,416.0,46829.0,3301.0
25,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,
26,Brunei,31449.0,,0.4,2.0,,0.829,,,,7.1,8.6,11.5,,2.8,,754.0,2.5,1.78,9.7,14.1,406705.0,31.1,65.1,83759.0,1.43,74.3,,25.1,4.4,,,70.47,1584.0,91.0,2985.0
27,Bulgaria,12207.0,78.84,12.7,88.0,,0.795,6.71,,,64.7,0.1,6.1,5950.0,63.0,40.3,690.0,6.5,1.58,1757.3,25.0,4492326.0,43.7,69.0,1000.0,-0.66,75.1,58.32,29.1,4.1,,,155.71,956.0,12194.0,2854.0
28,Burkina Faso,893.0,,8.2,,,0.449,3.73,,,26.3,0.1,85.0,750.0,26.0,38.9,39.0,14.4,4.77,408.1,5.6,3047909.0,17.9,59.4,,2.46,62.7,12.0,17.9,4.2,335.0,,29.79,30.0,12.0,2737.0
29,Burundi,311.0,,7.5,635.0,,0.426,2.14,,98.0,75.0,,54.4,,26.0,38.6,20.0,12.1,5.08,239.4,5.4,607311.0,17.7,48.9,,3.56,63.8,,20.3,4.8,,,4.6,9.0,,
30,Cambodia,1608.0,,6.7,268.0,,0.593,3.1,,96.0,1.0,97.9,25.7,,57.0,36.0,94.0,5.5,2.34,726.2,3.9,5441827.0,26.4,57.8,,1.04,70.1,12.34,21.0,1.9,,,3.47,34.0,,2492.0
31,Cameroon,1668.0,,8.9,1202.0,,0.576,2.77,,96.0,73.0,0.1,72.2,785.0,24.0,46.6,58.0,15.9,4.46,171.0,11.4,5580465.0,18.5,52.4,59743.0,2.73,62.4,11.98,19.0,3.1,389.0,,15.27,86.0,,2733.0
32,Canada,52112.0,175.61,8.9,788.0,1.2,0.936,9.24,59.0,42.0,53.3,0.8,5.0,24128.0,126.94,30.3,5053.0,10.3,1.43,1021.3,29.4,33950632.0,41.8,77.7,4543800.0,0.73,82.2,82.63,29.6,5.5,10.0,,187.77,3184.0,10433.0,3566.0
33,Cape Verde,3293.0,,5.7,36.0,,0.662,7.65,,,89.1,,14.2,1673.0,99.0,42.4,179.0,15.2,1.9,397.1,11.8,312315.0,26.8,63.1,,1.19,74.0,32.18,21.5,5.2,,,115.64,119.0,,2541.0
34,Cayman Islands,85250.0,,,3.0,,,,,,66.9,,,,7.0,,,,,,,49906.0,40.5,,,1.79,,,,,,,,410.0,,
35,Central African Republic,461.0,,3.3,,,0.404,1.32,,,80.0,,103.0,821.0,39.0,56.2,49.0,23.0,5.98,213.2,7.5,202204.0,20.0,49.1,,1.77,53.1,35.9,17.3,1.2,1421.0,,13.53,12.0,,1786.0
36,Chad,955.0,,1.5,,,0.394,1.55,,95.0,35.0,0.1,110.0,1298.0,18.0,37.5,32.0,13.2,6.25,279.3,6.1,968500.0,16.1,49.9,81329.0,3.05,59.6,26.48,18.8,2.9,209.0,,20.63,4.0,,2115.0
37,Chile,16265.0,246.39,9.3,708.0,1.8,0.855,8.28,36.0,70.0,68.0,0.1,6.8,6483.0,65.09,46.0,1457.0,8.0,1.54,769.3,28.0,14864456.0,35.5,75.4,2000.0,0.63,80.7,83.17,32.6,5.4,7.4,,116.11,871.0,7058.0,3029.0
38,China,12437.0,172.95,7.2,7157.0,1.6,0.768,2.27,35.8,,3.0,18.2,7.3,2642.0,13.55,38.2,505.0,6.7,1.16,2043.0,6.2,1089140000.0,38.4,58.4,4089997.0,0.18,77.4,60.6,24.9,4.0,19.0,,32.66,527.0,208418.0,3206.0
39,Colombia,6104.0,53.73,5.8,14159.0,3.1,0.752,7.04,27.0,83.0,92.0,0.1,13.2,4516.0,56.03,54.2,517.0,3.7,1.72,351.4,22.3,30548252.0,31.2,67.3,751876.0,0.54,79.3,55.91,22.7,4.5,971.0,,108.47,296.0,17066.0,3114.0
40,Comoros,1631.0,,0.9,,,0.558,3.09,,97.0,2.1,,61.3,1587.0,21.0,45.3,74.0,8.5,3.98,585.4,7.8,69020.0,20.9,55.4,,1.34,67.4,,20.4,2.5,,,11.15,24.0,,
41,Congo,2200.0,,7.8,,,0.571,3.11,,94.0,92.0,0.1,81.2,1948.0,55.0,48.9,48.0,12.4,6.16,195.2,9.6,7011507.0,19.5,50.3,272928.0,3.13,64.7,40.11,21.0,4.6,595.0,,10.69,68.0,64.0,2285.0
42,Costa Rica,12472.0,47.93,4.8,588.0,,0.809,8.16,28.0,79.0,82.0,0.1,7.9,6785.0,43.0,49.3,902.0,7.6,1.53,411.4,25.7,3511549.0,32.6,65.3,,0.98,80.8,53.56,25.7,7.4,6.6,,183.28,279.0,2158.0,3029.0
43,Cote d'Ivoire,2539.0,49.33,8.4,,,0.55,4.11,,88.0,39.8,0.1,77.9,792.0,24.0,37.2,71.0,15.7,4.42,352.7,10.3,10650818.0,20.3,62.4,30298.0,2.16,62.9,12.38,19.5,5.1,117.0,,6.36,23.0,,2778.0
44,Croatia,16983.0,57.3,8.9,33.0,,0.858,6.5,,70.0,87.4,0.1,4.6,7075.0,74.0,28.9,1025.0,11.0,1.62,1578.9,24.4,2811056.0,43.9,61.4,10977.0,-0.47,78.6,75.3,28.9,4.6,7.0,,231.02,2010.0,,3074.0
45,Cuba,11255.0,,6.1,500.0,,0.764,2.84,,,65.0,0.1,5.1,44.0,34.0,,973.0,10.2,1.44,233.5,24.6,5638956.0,42.1,27.8,32079.0,-0.19,77.8,55.48,21.3,12.9,,,99.94,187.0,728.0,3344.0
46,Cyprus,32281.0,50.46,10.8,16.0,,0.896,7.56,,75.0,79.0,0.2,2.8,,849.0,29.4,2021.0,3.2,1.32,1961.4,21.8,952369.0,37.9,68.1,,1.0,83.1,72.83,29.6,6.4,,,113.31,4087.0,930.0,3019.0
47,Czech Republic,26809.0,85.89,14.4,47.0,,0.889,7.67,31.0,,11.7,0.1,2.9,8683.0,61.47,24.1,1753.0,9.5,1.83,2427.9,26.0,8358728.0,43.3,73.7,1687.0,0.0,79.1,82.79,29.8,5.6,22.0,,195.2,2358.0,16474.0,3277.0
48,Denmark,68037.0,210.71,10.4,47.0,1.2,0.948,9.15,44.0,19.0,79.0,0.2,3.6,,119.0,27.0,6233.0,7.6,1.72,1298.0,19.7,5407278.0,42.0,76.7,64791.0,0.44,81.3,70.83,32.7,7.6,9.9,1.0,277.3,5110.0,10715.0,3401.0
49,Djibouti,3348.0,,0.5,,,0.509,2.71,,96.0,6.0,,55.9,,71.0,41.6,64.0,11.9,2.8,785.5,13.5,532849.0,24.9,47.1,,1.93,65.8,15.04,26.9,8.4,,,59.81,36.0,,2694.0
