,Country,UN,Ookla,2016,Victims-per-100000-habitants,percentage-GDP,HDI,2020,percentage-of-population-with-education-of-2-year-tertiary-degree-or-equivalent,Yes/Important(%),Christian(%),Buddhist (%),"2020 mortality rate, under-5 (per 1000 live births)",Annual minimum wage (US$),External debt (% of GDP),Gini Ratio,Health spending per capita (International dollars),Suicide Rate,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Internet users,Median ages in years.1,Score,Oil production April 2022 (bbl/day)[1],CIA[2][3],Life expectancy at birth,kg/person (2020)[12],Age at first marriage (Women),Expenditure on education (% of GDP),Homeless per 10k,Calculated,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,Average daily food energy intake per capita (kilocalories)
93,Kuwait,32150.0,130.66,0.0,11.0,4.5,0.831,3.8,,91.0,15.0,2.8,8.9,2400.0,0.42,,1661.0,2.7,2.11,1412.7,37.9,4053797.0,29.7,60.8,2825724.0,1.13,81.0,67.12,27.5,3.8,,,157.66,502.0,196.0,3471.0
94,Kyrgyzstan,1339.0,48.12,6.2,,,0.692,4.21,,72.0,11.4,0.1,17.5,162.0,112.0,29.0,67.0,8.3,2.89,519.6,16.6,2309235.0,27.3,62.3,658.0,0.82,74.2,30.46,23.6,6.1,,,210.92,76.0,1455.0,2729.0
95,Laos,2569.0,43.98,10.4,,,0.607,1.77,,,2.2,66.1,44.1,1732.0,53.0,38.8,57.0,6.0,2.5,814.6,5.3,1749517.0,24.0,57.4,,1.3,68.5,30.41,,,,,,,,
96,Latvia,21267.0,128.69,12.9,57.0,,0.863,7.24,40.0,39.0,70.0,0.1,4.0,8799.0,126.0,35.7,1101.0,16.1,1.57,1189.1,23.6,1585471.0,44.4,70.4,,-1.13,75.4,68.73,30.6,4.7,35.3,,174.11,1349.0,2375.0,3229.0
97,Lebanon,6785.0,,1.5,128.0,,0.706,4.16,,87.0,39.5,0.2,7.0,5373.0,220.0,31.8,745.0,2.8,2.09,2037.5,32.0,4755187.0,33.7,51.1,,0.64,76.4,23.97,28.8,2.5,,,114.52,628.0,2000.0,2857.0
98,Lesotho,1040.0,,5.0,752.0,,0.514,6.3,,,90.0,0.1,89.5,956.0,53.0,44.9,122.0,87.5,3.02,448.0,16.6,665312.0,24.7,53.1,,0.76,50.7,19.89,20.9,6.5,,,25.35,46.0,,2323.0
99,Liberia,471.0,,5.8,135.0,,0.481,5.32,,,85.5,0.1,78.3,4.0,51.0,35.3,66.0,7.4,4.09,154.4,9.9,377607.0,18.0,49.7,,2.71,64.1,18.27,18.9,2.3,,,3.04,15.0,,2168.0
100,Libya,5791.0,,0.0,,,0.718,1.95,,,2.7,0.3,11.1,1169.0,9.0,,,4.5,2.46,327.2,32.5,1387116.0,25.8,,1057890.0,1.54,75.8,,29.2,2.3,405.0,,75.0,97.0,26.0,
101,Liechtenstein,169260.0,193.79,,2.0,,0.935,,,,84.4,0.1,,,0.0,,,,1.53,,,37201.0,43.7,,,0.7,,,31.2,2.1,0.0,,,3193.0,,
102,Lithuania,23844.0,132.67,15.0,72.0,,0.875,7.13,55.0,42.0,79.4,0.1,3.3,13899.0,74.0,35.1,1249.0,20.2,1.34,1292.0,26.3,2243448.0,44.5,74.2,700.0,-1.04,76.0,81.28,28.3,4.0,14.1,,295.46,1667.0,3479.0,3411.0
103,Luxembourg,133745.0,154.26,13.0,4.0,,0.93,8.68,50.0,39.0,72.4,0.1,2.8,32103.0,22.1,34.2,6227.0,8.6,1.38,6330.9,22.6,570794.0,39.5,75.9,,1.58,82.4,80.08,31.8,4.0,37.5,,255.3,3554.0,2000.0,3465.0
104,Macau,43555.0,170.3,,3.0,,,,,,,17.3,,9972.0,,36.0,,,1.09,,,619200.0,40.8,71.0,,0.71,,103.15,,2.7,,,37.46,3736.0,,
105,Madagascar,500.0,41.4,1.9,,,0.501,5.7,,,85.0,0.1,50.2,376.0,41.0,42.6,22.0,9.2,3.85,404.2,5.3,2505948.0,20.3,56.6,,2.22,65.3,12.34,18.4,2.8,,,24.84,15.0,119.0,1938.0
106,Malawi,613.0,,3.7,279.0,,0.512,5.74,,99.0,77.3,0.1,38.6,266.0,39.0,38.5,37.0,10.6,3.92,241.1,5.8,2566126.0,16.8,51.4,,2.28,65.6,20.34,17.9,4.0,,,7.98,50.0,117.0,2392.0
107,Malaysia,11101.0,103.34,0.9,243.0,,0.803,7.19,,96.0,9.0,19.8,8.6,4348.0,58.17,41.2,416.0,5.8,1.8,441.2,15.6,25343685.0,29.2,74.0,502082.0,1.01,74.7,52.9,25.0,4.7,,,25.28,1135.0,15354.0,2845.0
108,Maldives,10366.0,,2.7,3.0,,0.747,,,,0.08,0.6,7.6,,23.0,29.3,805.0,2.8,1.69,560.9,8.6,275717.0,29.5,53.2,,-0.17,79.6,20.61,21.6,4.1,,,111.47,238.0,,2235.0
109,Mali,875.0,,1.3,,,0.428,3.93,,95.0,2.4,0.1,94.0,616.0,26.0,36.1,32.0,8.0,5.96,316.9,8.6,2358540.0,16.1,58.1,,2.93,62.8,23.68,18.8,3.1,164.0,,98.68,16.0,14.0,2873.0
110,Malta,33642.0,134.48,8.1,2.0,,0.918,7.68,,86.0,91.6,0.1,6.5,11245.0,691.0,31.0,2754.0,5.3,1.14,1527.9,28.9,344970.0,42.3,68.6,,0.59,81.9,82.06,28.5,5.3,,,190.06,1974.0,511.0,3420.0
111,Marshall Islands,6111.0,,,2.0,,0.639,,,,,,30.7,4160.0,52.0,,737.0,,2.73,,52.9,20560.0,23.8,,,1.3,,,24.2,15.8,,,,128.0,,
112,Mauritania,2166.0,,0.0,46.0,,0.556,3.92,,98.0,0.14,,70.7,982.0,76.0,32.6,59.0,5.5,4.4,30.3,12.7,919398.0,21.0,55.7,,1.96,68.4,31.06,19.0,2.6,,,160.82,20.0,,2877.0
113,Mauritius,8873.0,,3.6,34.0,,0.802,8.14,,,32.2,0.1,16.5,2538.0,1368.0,36.8,642.0,8.8,1.41,542.5,10.8,702911.0,36.3,73.0,,0.09,74.1,50.9,25.4,4.8,,,117.27,356.0,80.0,3051.0
114,Mexico,10046.0,48.35,6.5,35700.0,0.6,0.758,6.07,21.0,73.0,88.9,0.1,13.7,3104.0,52.92,45.4,531.0,5.3,1.82,327.1,28.9,96800000.0,29.3,64.7,1715914.0,0.61,76.0,64.88,30.5,4.9,35.4,,111.87,231.0,18713.0,3157.0
115,Micronesia,3573.0,,2.5,1.0,,0.628,,,,95.4,0.4,24.7,,29.0,40.1,422.0,29.0,2.71,,45.8,37257.0,26.3,51.9,,-0.7,63.0,,25.5,12.5,,,,284.0,,
116,Moldova,4468.0,114.01,15.2,93.0,,0.767,5.78,,72.0,91.8,,14.5,2715.0,70.0,26.0,276.0,12.2,1.81,1747.2,18.9,3083783.0,37.7,59.1,,-1.14,73.3,38.12,26.0,6.7,,,155.18,211.0,4559.0,2383.0
117,Monaco,234317.0,220.35,,0.0,,,,,,82.6,,3.0,24092.0,240.0,,3101.0,,,,,37553.0,55.4,,,0.66,,,30.4,1.5,,,,6050.0,41.0,
118,Mongolia,4510.0,43.67,7.4,206.0,,0.739,6.48,,,1.3,55.1,15.4,2316.0,245.0,32.7,158.0,18.0,2.84,1982.5,20.6,729236.0,29.8,55.4,15888.0,0.83,68.1,88.38,26.0,4.1,,,139.82,194.0,285.0,2579.0
119,Montenegro,9252.0,64.44,8.0,15.0,,0.832,5.77,,71.0,78.8,0.1,2.4,6387.0,151.0,32.9,727.0,16.2,1.75,1100.8,23.3,505055.0,39.6,60.5,,-0.43,75.9,73.01,28.0,,,,349.21,1006.0,,3500.0
120,Morocco,3853.0,,0.6,716.0,,0.683,5.04,,97.0,1.0,0.1,18.7,3997.0,46.0,39.5,175.0,7.3,2.33,682.3,26.1,22072765.0,29.1,62.9,25.0,0.88,73.0,35.12,25.7,5.4,,,54.68,259.0,3677.0,3412.0
121,Mozambique,492.0,,2.4,849.0,,0.446,3.51,,,56.1,0.1,70.6,550.0,72.0,54.0,41.0,23.2,4.64,501.9,7.2,6162217.0,17.0,48.6,,2.55,58.1,9.39,18.7,6.5,246.0,,4.79,20.0,,2103.0
122,Myanmar,1089.0,,4.8,15299.0,,0.585,3.04,,,6.2,89.9,43.7,691.0,17.0,30.7,60.0,3.0,2.15,226.5,5.8,23650000.0,29.2,53.6,7400.0,0.75,69.1,58.25,20.5,2.2,,,31.48,18.0,3660.0,2673.0
123,Namibia,4836.0,,9.8,315.0,,0.615,6.52,,,90.0,0.1,40.2,,64.0,59.1,473.0,13.5,3.3,298.4,17.2,933450.0,21.8,58.7,,1.8,64.6,30.53,29.2,8.4,,,73.05,205.0,106.0,2469.0
124,Nauru,12390.0,,6.0,,,,,,,,1.1,28.5,,22.0,,1176.0,,,,61.0,6475.0,27.0,,,0.42,,,21.2,4.9,,,,254.0,,
125,Nepal,1159.0,,2.0,659.0,,0.602,5.22,,93.0,1.4,10.3,28.2,1524.0,16.0,32.8,50.0,9.8,2.03,511.6,4.1,16190000.0,25.3,53.8,,0.74,70.9,13.55,20.1,5.2,,,52.1,84.0,,2769.0
126,Netherlands,57871.0,152.94,8.7,114.0,1.6,0.941,8.96,45.0,,37.0,0.2,4.2,24925.0,381.62,26.4,5331.0,9.3,1.62,1459.9,20.4,15877494.0,42.8,76.8,29451.0,0.36,81.8,75.82,30.9,5.5,18.0,,341.47,3534.0,16502.0,3297.0
127,New Caledonia,34994.0,,,8.0,,,,,,,0.6,,,1.0,,,,2.02,,,226557.0,32.9,,,1.17,,68.61,,,,,108.0,676.0,,2858.0
128,New Zealand,48824.0,153.88,10.7,129.0,,0.937,9.25,39.0,,37.0,1.6,4.7,33487.0,81.76,33.9,3958.0,10.3,1.64,685.1,30.8,4273353.0,37.2,84.4,6551.0,1.06,82.0,100.9,29.4,6.4,217.3,,137.25,3286.0,2526.0,3191.0
129,Nicaragua,2046.0,,5.2,754.0,,0.667,3.6,,84.0,84.6,0.1,16.0,1506.0,83.0,46.2,168.0,4.7,2.32,327.8,23.7,1732218.0,27.3,57.7,,0.91,75.0,30.82,20.6,4.3,,,85.16,21.0,27.0,2582.0
130,Niger,591.0,,0.5,788.0,,0.4,3.29,,99.0,0.5,,77.5,650.0,36.0,37.3,30.0,10.1,6.82,118.8,5.5,2194985.0,14.8,51.6,8000.0,3.66,63.3,12.75,17.2,3.5,,,58.92,8.0,,2601.0
131,Nigeria,2019.0,,13.4,44200.0,,0.535,4.1,,96.0,45.9,0.1,113.8,901.0,2.0,35.1,66.0,6.9,5.24,162.5,8.9,136203231.0,18.6,57.3,1316415.0,2.53,62.6,7.15,21.2,5.94,1658.0,,7.91,63.0,1314.0,2572.0
132,North Korea,654.0,,3.9,,,,1.08,,,1.7,1.5,16.5,,18.0,,,8.2,1.81,993.3,6.8,,34.6,5.9,,0.44,72.6,13.67,25.5,,,,3.79,9.0,,2019.0
133,North Macedonia,6600.0,37.2,8.1,24.0,,0.77,5.89,,76.0,60.4,0.1,5.9,2418.0,73.0,30.7,387.0,7.2,1.6,2784.9,22.4,1589659.0,39.0,71.1,,0.11,74.8,36.62,26.9,3.3,,,157.93,540.0,,3072.0
134,Norway,89242.0,159.99,7.5,29.0,1.6,0.961,9.81,48.0,,76.7,0.6,2.2,,133.14,25.3,8272.0,11.8,1.55,552.8,23.1,5120225.0,39.5,73.0,1704297.0,0.79,82.6,67.47,34.1,8.0,7.0,,261.34,4654.0,14114.0,3371.0
135,Oman,19509.0,57.53,0.8,11.0,5.2,0.816,3.0,,,6.5,0.8,11.0,10263.0,35.0,,639.0,4.5,2.62,271.1,27.0,3717818.0,26.2,61.0,1063251.0,1.8,73.9,43.34,24.8,6.8,,,152.28,562.0,7.0,2940.0
136,Pakistan,1480.0,,0.3,9207.0,2.6,0.544,4.31,,92.0,1.6,0.1,65.2,1289.0,43.0,29.6,41.0,9.8,3.47,363.2,8.6,130000000.0,22.0,55.0,83000.0,1.91,65.6,16.87,23.2,2.9,943.0,,183.13,127.0,3811.0,2486.0
137,Palau,12084.0,,,2.0,,0.767,,,,77.9,0.8,16.9,6240.0,62.1,,1790.0,,,,55.3,,33.9,,,0.39,,,26.6,7.6,,,,1169.0,,
138,Palestine,3514.0,,,45.0,,0.715,3.83,,93.0,,0.1,,6985.0,35.0,,,,3.5,,,3208312.0,18.0,,,,,,20.1,5.3,,,,230.0,114.0,
139,Panama,14618.0,125.25,7.9,550.0,,0.805,7.18,,88.0,92.0,0.2,14.3,3819.0,157.0,49.8,1228.0,2.9,2.33,219.3,22.7,2371852.0,30.1,67.2,,1.51,79.3,65.02,21.6,4.1,,,70.29,182.0,940.0,2851.0
140,Papua New Guinea,2673.0,,1.2,713.0,,0.558,6.1,,,97.0,0.1,43.9,2086.0,111.0,41.9,59.0,3.6,3.21,1689.3,21.3,924955.0,24.0,58.4,35917.0,2.31,65.3,,21.4,,,,,25.0,122.0,
141,Paraguay,6035.0,56.89,7.2,525.0,,0.717,6.18,,92.0,96.0,0.1,18.9,4055.0,54.0,43.5,421.0,6.2,2.47,384.5,20.3,4160340.0,29.7,61.8,,1.12,75.8,54.07,22.7,3.4,,,75.72,55.0,1007.0,2768.0
142,Peru,6622.0,51.81,6.3,1903.0,,0.762,6.53,,84.0,94.5,0.2,12.8,3170.0,44.0,43.8,363.0,2.7,2.19,97.7,19.7,15674241.0,29.1,67.8,40538.0,0.5,79.9,24.41,23.5,3.9,223.0,,62.15,164.0,6885.0,2775.0
143,Philippines,3461.0,49.31,6.6,4764.0,,0.699,6.56,,96.0,85.3,2.0,26.4,3009.0,58.9,41.2,126.0,2.5,2.75,1132.2,6.4,73003313.0,24.1,63.8,925.0,1.58,70.4,37.04,25.3,3.2,424.0,,15.66,51.0,1507.0,2662.0
144,Poland,17736.0,130.98,11.6,273.0,2.4,0.876,6.85,43.0,75.0,94.3,0.1,4.4,11192.0,49.3,27.2,979.0,9.3,1.33,1363.1,23.1,34697848.0,41.9,67.8,17151.0,-0.28,78.3,88.71,27.0,4.6,8.0,,205.39,1364.0,21130.0,3537.0
145,Portugal,24651.0,150.39,12.3,82.0,,0.866,7.9,33.0,,84.8,0.6,3.3,9935.0,164.48,31.2,2216.0,7.2,1.38,1133.4,20.8,7622142.0,44.6,65.3,,-0.17,81.6,94.07,32.4,4.9,8.0,,205.04,2821.0,18925.0,3480.0
146,Puerto Rico,32716.0,,,556.0,,,,,,89.0,0.3,,,161.93,,,,0.91,,,2664928.0,43.6,,,-1.29,,,,6.1,,,,265.0,,
147,Qatar,66799.0,105.2,2.0,9.0,7.0,0.855,3.24,,95.0,13.8,3.1,5.8,,106.09,41.1,2156.0,4.7,1.8,1020.3,35.1,2532059.0,33.7,72.6,1321192.0,0.86,77.2,,25.4,2.9,,,,1815.0,209.0,
148,Romania,14698.0,178.9,12.6,244.0,1.7,0.821,6.4,,84.0,98.0,0.1,6.9,8654.0,45.4,34.8,687.0,7.3,1.8,1204.3,22.5,12545558.0,42.5,68.6,61281.0,-1.01,75.6,63.92,28.3,3.1,7.0,,238.33,810.0,14984.0,3581.0
149,Russia,12259.0,87.01,11.7,9866.0,4.1,0.822,3.31,58.0,34.0,46.6,0.1,5.4,2646.0,13.67,36.0,609.0,21.6,1.49,2295.0,23.1,129800000.0,40.3,58.9,10278370.0,-0.24,73.2,87.81,25.5,3.7,4.0,,163.57,819.0,115171.0,3345.0
150,Rwanda,822.0,,9.0,472.0,,0.534,3.1,,95.0,93.6,,40.5,,29.0,43.7,52.0,9.5,3.82,94.0,5.8,2657770.0,19.7,71.1,,1.68,69.1,9.08,20.6,3.1,,,7.23,55.0,,2188.0
151,Saint Kitts and Nevis,18083.0,,9.4,14.0,,0.777,,,,,,15.0,6933.0,20.0,,1103.0,,1.53,,22.9,44669.0,36.5,,,0.59,,82.51,31.3,2.6,,,87.36,2241.0,,2582.0
152,Saint Lucia,9824.0,45.66,9.9,70.0,,0.715,,,,,,24.4,,36.0,51.2,513.0,6.9,1.4,553.9,19.7,90889.0,36.9,68.7,,0.27,74.3,90.9,33.7,3.8,,,80.65,78.0,,2618.0
153,Saint Vincent and the Grenadines,8440.0,46.51,8.2,32.0,,0.751,,,,,,14.1,2407.0,42.0,,348.0,1.0,1.8,259.6,23.7,72048.0,35.3,65.8,,-0.16,73.2,91.05,21.2,5.8,,,87.62,280.0,,2968.0
154,Samoa,3919.0,,2.5,13.0,,0.707,,,,98.3,0.3,17.0,1625.0,51.0,,198.0,14.6,3.93,1470.6,47.3,66023.0,27.2,62.2,,0.65,70.5,96.68,24.1,4.1,,,52.55,350.0,46.0,3030.0
155,San Marino,50425.0,115.27,,0.0,,0.853,,,,91.6,,1.8,21310.0,23.0,,4115.0,,,,,20100.0,45.2,,,0.59,,,30.7,3.2,,,,1484.0,,
156,Saudi Arabia,23186.0,90.24,0.2,285.0,7.4,0.875,2.08,26.0,93.0,5.0,0.3,7.0,12800.0,23.83,45.9,1291.0,5.4,2.43,1341.0,35.4,34840000.0,30.8,60.7,10644394.0,1.65,74.3,54.13,20.4,5.6,,,83.65,1037.0,2387.0,3307.0
157,Senegal,1637.0,35.32,0.7,39.0,,0.511,5.67,,96.0,4.2,0.3,38.1,686.0,42.0,38.1,66.0,11.0,4.39,359.4,8.8,4698108.0,19.4,56.3,,2.52,68.6,14.13,22.2,4.8,,,16.86,54.0,,2545.0
158,Serbia,8643.0,77.88,11.1,77.0,,0.802,6.22,,54.0,91.0,0.1,5.6,3610.0,56.5,34.5,617.0,7.9,1.48,1898.6,21.5,6182411.0,43.4,63.9,14170.0,-0.63,75.9,53.49,28.6,4.0,28.5,,148.53,1158.0,14901.0,2828.0
159,Seychelles,12085.0,,13.8,5.0,,0.785,,,,94.7,0.1,13.9,3282.0,180.0,32.1,792.0,7.7,2.46,543.6,14.0,55677.0,36.8,61.4,,0.6,73.3,,25.2,4.4,,,79.23,1119.0,,
160,Sierra Leone,505.0,,5.7,176.0,,0.477,4.86,,,10.0,0.3,107.8,575.0,36.0,35.7,43.0,11.3,3.98,468.6,8.7,1000575.0,19.1,47.5,,2.41,60.8,8.23,23.1,4.6,,,7.0,25.0,,2369.0
161,Singapore,66822.0,259.11,2.5,6.0,2.8,0.939,6.03,,70.0,18.9,33.9,2.2,,158.13,45.9,2642.0,9.7,1.12,851.2,6.1,4821119.0,35.6,89.4,,0.9,83.2,,27.9,2.9,,,,4232.0,12000.0,
162,Slovakia,21390.0,101.28,11.5,55.0,,0.848,6.97,31.0,,68.8,0.1,5.8,9914.0,112.0,23.2,1300.0,9.3,1.64,1500.9,20.5,4446926.0,41.8,65.0,43.0,-0.12,78.2,59.35,29.4,3.9,19.5,1.0,143.14,1597.0,9400.0,2871.0
163,Slovenia,29135.0,108.47,12.6,9.0,,0.918,7.54,41.0,47.0,68.0,0.1,2.2,17079.0,104.0,23.5,2170.0,14.0,1.64,2236.5,20.2,1640893.0,44.9,65.5,,-0.08,81.3,76.4,30.7,4.8,5.0,1.0,235.01,3228.0,5076.0,3191.0
164,Solomon Islands,2306.0,,1.4,19.0,,0.564,,,,,0.3,19.4,933.0,40.0,,92.0,17.4,3.98,1419.1,22.5,72872.0,23.5,54.6,,1.69,65.2,11.74,20.3,7.3,,,11.52,85.0,,2415.0
165,Somalia,447.0,,0.0,,,,,,,0.01,,114.6,,52.0,36.8,,14.7,6.31,198.5,8.3,294851.0,18.5,,,2.49,56.5,,20.6,9.6,1867.0,,,6.0,,
166,South Africa,7055.0,43.91,9.3,24865.0,,0.713,7.05,14.0,85.0,85.3,0.2,32.2,3671.0,65.81,63.0,569.0,23.5,2.37,509.6,28.3,31858027.0,28.0,58.3,950.0,0.91,65.3,60.03,33.0,6.2,36.0,,55.75,472.0,5418.0,2899.0
167,South Korea,34940.0,241.58,10.2,270.0,2.7,0.925,8.01,69.0,43.0,27.6,22.9,3.0,20990.0,38.62,34.5,2519.0,21.2,0.81,1667.4,4.7,49421084.0,43.2,72.3,,0.23,83.3,70.71,31.0,5.1,2.0,,29.05,1762.0,63476.0,3420.0
168,South Sudan,400.0,,,1504.0,,0.385,,,,60.5,,97.9,,62.7,44.1,28.0,6.7,4.47,383.7,6.6,1003542.0,18.6,,155110.0,4.78,62.8,,18.4,1.5,1378.0,,,3.0,,
169,Spain,30058.0,186.4,10.0,290.0,1.5,0.905,8.12,41.0,49.0,59.2,0.1,3.2,17457.0,111.84,33.0,2741.0,5.3,1.19,1499.0,23.8,42400756.0,43.9,65.7,19.0,0.12,83.2,100.26,33.6,4.2,8.6,,164.29,2202.0,83622.0,3322.0
170,Sri Lanka,3918.0,,4.3,742.0,,0.782,6.14,,99.0,7.4,69.3,6.9,603.0,68.0,39.3,159.0,12.9,1.99,254.6,5.2,7121116.0,33.7,56.4,,0.59,76.9,9.04,23.4,2.8,,,34.98,128.0,4115.0,2737.0
171,Sudan,786.0,,0.5,,,0.508,2.54,,93.0,1.5,0.1,56.6,13.0,121.0,34.2,36.0,4.8,4.46,339.9,6.6,12512639.0,18.3,47.7,64880.0,2.55,69.1,21.39,22.0,2.2,623.0,,155.2,27.0,,2578.0
172,Suriname,5259.0,,5.1,35.0,,0.73,6.82,,,50.0,0.6,17.6,,30.0,57.9,450.0,25.9,2.35,511.7,26.4,275785.0,31.0,48.1,14000.0,1.11,71.5,42.4,29.3,,,,48.97,100.0,47.0,2698.0
173,Sweden,60730.0,169.0,9.2,113.0,1.3,0.947,9.26,46.0,17.0,64.3,0.4,2.6,,171.81,26.8,6005.0,12.4,1.67,716.2,20.6,9554907.0,41.1,75.2,,0.51,82.4,77.07,33.9,7.7,36.0,,341.23,4141.0,8118.0,3184.0
174,Switzerland,93525.0,188.69,11.5,42.0,0.8,0.962,8.83,49.0,41.0,66.9,0.4,4.0,,284.57,33.1,9871.0,9.8,1.52,1489.8,19.5,7942864.0,42.7,81.9,,0.64,83.4,67.54,30.1,5.1,2.55,,318.69,5461.0,12156.0,3354.0
175,Syria,925.0,,0.3,463.0,,0.577,1.43,,89.0,10.0,,22.4,96.0,24.0,55.8,,2.1,2.75,2291.7,27.8,6257430.0,23.5,,85742.0,6.39,72.7,,26.3,5.1,3753.0,,111.43,40.0,1138.0,
176,São Tomé and Príncipe,2486.0,,6.8,6.0,,,,,,,,16.1,,,40.7,115.0,2.2,3.82,,12.4,61155.0,,54.0,,1.45,,,,,,,,,,
177,Taiwan,,163.85,,,1.6,,8.94,,,,21.3,,11973.0,24.4,34.1,,,,,,21920626.0,42.3,77.3,196.0,0.03,,77.57,30.4,,,,41.72,1677.0,28084.0,2983.0
178,Tajikistan,897.0,,3.3,87.0,,0.685,1.94,,85.0,1.4,0.1,32.3,265.0,38.0,34.0,60.0,5.3,3.19,361.1,14.2,1959127.0,25.3,55.6,316.0,1.36,69.5,16.47,22.1,5.2,,,54.54,34.0,132.0,2109.0
179,Tanzania,1136.0,,9.4,2286.0,,0.549,5.1,,89.0,61.4,0.1,48.9,209.0,34.0,40.5,41.0,8.2,4.73,181.8,8.4,33090000.0,18.2,60.2,,2.75,67.3,,18.9,3.4,,,40.29,37.0,172.0,2373.0
180,Thailand,7067.0,206.81,8.3,3307.0,1.2,0.8,6.04,,97.0,1.1,93.2,8.7,3733.0,49.09,35.0,276.0,8.0,1.33,837.4,10.0,54043108.0,39.0,68.3,143083.0,0.2,77.7,27.37,21.0,4.1,0.4,,29.35,312.0,6750.0,2804.0
181,Timor-Leste,1517.0,,2.1,49.0,,0.607,7.06,,,99.6,,42.3,1380.0,12.0,28.7,79.0,4.5,3.15,,3.8,356356.0,19.6,44.2,14000.0,2.1,69.6,31.51,20.6,3.8,,,10.96,31.0,,2287.0
182,Togo,944.0,,3.1,,,0.539,2.8,,,29.0,0.1,64.4,757.0,26.0,42.4,53.0,14.8,4.26,147.3,8.4,963795.0,20.0,50.3,,2.45,64.3,12.58,22.3,5.0,211.0,,7.96,28.0,,2443.0
183,Tonga,4451.0,,1.5,1.0,,0.745,,,,81.0,0.1,11.4,,54.0,,219.0,4.4,3.24,986.9,48.2,44558.0,24.1,57.7,,-0.3,72.6,,23.6,3.9,,,,301.0,,
184,Trinidad and Tobago,16033.0,79.89,8.4,448.0,,0.81,7.16,,,57.6,0.3,16.6,4615.0,76.0,39.0,1056.0,8.3,1.63,682.5,18.6,1058744.0,37.8,57.0,58436.0,0.12,76.1,68.66,29.2,3.1,,,103.8,320.0,,2991.0
185,Tunisia,3807.0,,1.9,562.0,,0.731,6.59,,93.0,,0.1,16.6,2000.0,97.0,35.8,212.0,3.2,2.09,1580.0,26.9,6400330.0,32.7,55.4,33320.0,0.63,77.0,28.36,28.7,6.6,,,114.47,710.0,720.0,3450.0
186,Turkey,9661.0,62.52,2.0,2136.0,1.2,0.838,4.48,28.0,82.0,0.2,0.1,9.5,18190.0,46.21,41.9,388.0,2.3,1.89,1770.7,32.1,69945905.0,32.2,64.6,69012.0,0.64,78.6,38.87,25.0,4.4,8.5,,193.94,635.0,88975.0,3711.0
187,Turkmenistan,8508.0,,5.4,63.0,,0.745,1.72,,80.0,9.0,0.1,41.8,,1.0,40.8,457.0,6.1,2.67,962.1,18.6,1223591.0,29.2,48.4,195109.0,0.95,69.7,60.22,23.3,3.0,,,137.09,2.0,450.0,2830.0
188,Turks and Caicos Islands,20909.0,,,2.0,,,,,,,,,,,,,,1.67,,,,34.6,,,1.81,,,,,,,,247.0,,
189,Tuvalu,5370.0,,1.7,0.0,,0.641,,,,,0.1,22.0,,37.0,,801.0,,3.16,,51.6,5520.0,26.6,,,0.81,,,22.1,3.7,,,,187.0,,
190,US Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,
191,Uganda,930.0,,9.5,3912.0,,0.525,4.94,,93.0,84.5,0.1,43.3,426.0,24.0,42.7,33.0,10.4,4.58,195.7,5.3,10162807.0,15.7,59.7,,3.22,66.7,9.69,18.2,2.6,143.0,,37.27,53.0,288.0,1981.0
192,Ukraine,4596.0,67.52,8.6,1673.0,34.0,0.773,5.81,,46.0,81.9,0.1,8.1,2946.0,81.0,25.6,221.0,17.7,1.16,1849.4,24.1,28570000.0,41.2,52.3,6672.0,-0.52,73.0,46.92,25.9,5.4,168.0,,145.03,434.0,24416.0,3102.0
193,United Arab Emirates,43295.0,151.09,3.8,44.0,,0.911,2.7,,91.0,9.0,2.0,6.6,,59.69,26.0,1915.0,5.2,1.46,748.5,31.7,8913217.0,38.4,77.1,3467870.0,0.58,76.1,62.03,25.3,1.3,,,132.66,1061.0,293.0,3314.0
194,United Kingdom,46542.0,92.63,11.4,696.0,2.2,0.929,8.54,49.0,27.0,38.0,0.4,4.2,29690.0,287.08,36.6,4228.0,6.9,1.56,827.7,27.8,65001016.0,40.6,78.9,744965.0,0.49,81.4,79.9,31.7,3.9,54.4,,232.2,2959.0,186000.0,3344.0
195,United States,69185.0,191.97,9.8,22941.0,3.5,0.921,7.92,51.1,65.0,65.0,1.2,6.3,15080.0,122.56,39.4,10285.0,14.5,1.66,1016.6,41.9,311300000.0,38.5,76.8,11884154.0,0.68,78.5,124.11,28.6,6.1,17.5,,254.69,1875.0,275232.0,3782.0
196,Uruguay,17313.0,53.88,10.8,305.0,,0.809,8.61,,41.0,58.1,0.1,6.2,5816.0,50.0,31.1,1697.0,18.8,1.49,899.4,27.9,2910000.0,35.5,68.6,,0.27,77.1,57.7,24.0,4.9,,,210.54,535.0,3231.0,3202.0
197,Uzbekistan,2032.0,39.2,2.7,479.0,,0.727,2.12,,51.0,2.6,0.1,13.9,1041.0,24.0,36.7,82.0,8.3,3.17,495.9,16.6,16692456.0,30.1,53.3,34379.0,0.81,73.0,34.41,22.7,6.3,,,130.81,99.0,1003.0,3011.0
